kshiftrb
vfmsubss
pmulhrwa
dq
kshiftlb
cdq
fadd
cvtpd2ps
minps
cmpordpd
vpcomw
stosq
vphaddubq
vphaddbq
cmpsq
psllq
rdpmc
fdivr
pmvgezb
cvttss2si
std
femms
cvtsi2sd
ptest
ltr
vpmacssdql
vpmadcsswd
vphaddubw
vpmacswd
kxor
clac
t1mskc
extractps
psignd
stosd
div
rsqrtss
pclmullqlqdq
andpd
cmpneqsd
resw
sqrtps
fmulp
paddsw
sha1msg2
stac
kaddq
retd
cvtss2si
orpd
test
pfsubr
mwaitx
pfcmpeq
pabsd
pslldq
xcryptcfb
f2xm1
aesenclast
bndcn
punpckhqdq
unpcklps
pclmulqdq
setssbsy
fwait
ktestw
encls
pextrd
fcom
psubsb
ud2
kshiftrw
cpu_read
pblendw
enclv
psubd
cmpxchg8b
kaddb
tilestored
xchg
rstorssp
ret
cmpneqps
kshiftrq
kshiftlq
cvttps2dq
paddb
ptwrite
sttilecfg
xsaves
int
cbw
rcl
cmpeqps
vpmacsdqh
knot
cmpnltpd
retq
cvttpd2dq
rdpid
blcs
pminuw
pop
pushaw
cmpeqpd
korw
blsr
vpmacsswd
maxpd
tzcnt
sha1msg1
int1
extrq
wrssq
mulpd
addsd
fsub
sha256msg1
rsqrtps
cmpss
fldl2e
fsubr
vfnmaddps
bb1_reset
fucomip
hsubpd
pfcmpgt
unpcklpd
loopz
dpps
pcmpeqb
vpshaw
xcryptctr
fyl2x
cmpsw
getsec
frndint
sar
fxrstor
popaw
fcomi
llwpcb
pfmin
pand
feni
lzcnt
saveprevssp
xsavec64
adcx
rdmsr
pcmpgtw
reso
rsts
vpmacsww
cli
vphadduwq
divsd
pandn
and
pcmpgtb
rcpss
fisubr
cmpxchg486
clzero
phsubsw
mwait
fnstcw
retfd
kandq
rdpkru
dy
str
vfnmsubps
xorpd
pfrsqit1
rdshr
loopnz
smsw
blci
wbnoinvd
stosw
pushfw
pcmpgtd
kxnorb
prefetchnta
roundps
jecxz
kxorw
paddusb
cwde
addpd
fstp
cmpordsd
sha256msg2
pcmpestri
fnsave
dppd
pmuludq
vpmacssdd
aesimc
blcmsk
pfrcpv
rsm
phaddw
packuswb
sha256rnds2
fild
pslld
kord
fdivp
smi
vfrczss
shufps
cmpltss
enclu
rdfsbase
blendvps
verw
bts
fstenv
xtest
paddd
kortestw
subps
loadall
pshufhw
fld1
iretq
tdpbssd
icebp
cmpordps
vfmaddss
vpshaq
cmpsb
vpcomud
pextrw
cmpless
shlx
ucomisd
svldt
lahf
kandw
fucomp
fidivr
gf2p8mulb
xrstor64
vphadduwd
rest
punpckldq
insd
wrssd
resy
dt
aam
pmulhw
